14.922,32.4946,14.831,32.9984,14.7422,33.5597,14.6502,34.1378,14.5638,34.7396,14.4723,35.3634,14.3672,35.9854,14.2537,36.6441,14.1125,37.3118,13.9492,38.0283,13.7623,38.7116,13.5447,39.4769,13.2922,40.234,12.994,41.0682,
19.5601,22.721,19.4788,23.1183,19.3996,23.5571,19.3182,24.0121,19.2398,24.4805,19.1597,24.9733,19.065,25.472,18.9617,26.0031,18.8257,26.5499,18.6662,27.1446,18.4812,27.7301,18.2598,28.3884,17.9962,29.0569,17.6736,29.7959,
23.6591,16.1569,23.5879,16.4584,23.5175,16.7889,23.4477,17.1344,23.3771,17.487,23.3052,17.8585,23.2209,18.2394,23.1245,18.6434,23.0007,19.0704,22.8593,19.5431,22.6885,20.0139,22.4883,20.5545,22.2316,21.103,21.9028,21.7089,
27.2248,11.6156,27.1674,11.8431,27.1069,12.0901,27.0475,12.3485,26.9872,12.6125,26.9244,12.8901,26.8487,13.1757,26.767,13.4825,26.6536,13.8067,26.5297,14.1704,26.383,14.5401,26.2234,14.9746,25.9925,15.4149,25.677,15.9001,
30.0956,8.49623,30.0348,8.66337,29.9796,8.84752,29.926,9.04023,29.8656,9.23546,29.8041,9.44127,29.7339,9.65485,29.6645,9.88673,29.5621,10.1325,29.4439,10.4062,29.3122,10.689,29.1715,11.0223,28.9671,11.3669,28.6692,11.7467,
32.674,6.27007,32.6199,6.39575,32.5757,6.53486,32.5305,6.67987,32.4747,6.82622,32.4151,6.97991,32.3511,7.14052,32.2849,7.31411,32.1911,7.50002,32.0812,7.70713,31.946,7.91866,31.8235,8.17347,31.6226,8.4349,31.3488,8.73107,
34.7494,4.68659,34.6975,4.78131,34.6567,4.88617,34.6166,4.99577,34.5625,5.10597,34.5012,5.22126,34.4352,5.34174,34.3638,5.47146,34.2813,5.61338,34.1745,5.7701,34.0182,5.92634,33.8997,6.11919,33.6978,6.31719,33.4324,6.54416,
36.7966,3.54973,36.7582,3.6231,36.7241,3.70349,36.6879,3.7872,36.6451,3.87229,36.5869,3.96045,36.5331,4.05363,36.4716,4.1537,36.3981,4.26308,36.2927,4.38307,36.1137,4.50013,35.9897,4.6468,35.7822,4.79807,35.4978,4.9701,
38.1964,2.72076,38.1563,2.77698,38.1236,2.83879,38.0894,2.90321,38.0552,2.96924,37.9957,3.03692,37.9407,3.10844,37.8767,3.18517,37.8128,3.27012,37.7206,3.36371,37.5258,3.45273,37.4084,3.56636,37.1898,3.68217,36.9147,3.81631,
38.9833,2.12151,38.9502,2.16579,38.9211,2.21423,38.8938,2.26493,38.8627,2.31667,38.8043,2.36962,38.7595,2.42614,38.705,2.48672,38.6466,2.5535,38.5552,2.62676,38.3236,2.694,38.2088,2.78303,37.9577,2.8713,37.6911,2.97702,
38.7196,1.69236,38.6881,1.72774,38.6639,1.7666,38.6396,1.80718,38.6081,1.84844,38.55,1.89068,38.4991,1.93545,38.4434,1.9837,38.3779,2.03658,38.2762,2.09441,38.0266,2.14691,37.92,2.21829,37.6292,2.28612,37.3263,2.36784,
40.0284,1.37336,39.9975,1.40212,39.9697,1.43357,39.9451,1.46651,39.9265,1.50051,39.8741,1.5351,39.8308,1.57182,39.7814,1.61134,39.7166,1.65441,39.624,1.70194,39.3215,1.74265,39.2165,1.80083,38.877,1.85404,38.5621,1.92022,
40.454,1.1269,40.4235,1.15053,40.3931,1.17626,40.3703,1.20335,40.3513,1.23125,40.3019,1.25974,40.2677,1.29018,40.222,1.32276,40.1688,1.35853,40.0738,1.39751,39.743,1.43004,39.6327,1.47763,39.2449,1.51957,39.0244,1.57774,
40.5127,0.948968,40.4811,0.968837,40.454,0.990587,40.4359,1.01352,40.4223,1.03716,40.3771,1.06127,40.3364,1.08674,40.2867,1.11407,40.2369,1.1443,40.1465,1.17728,39.7712,1.20335,39.6491,1.24303,39.2241,1.2771,39.0206,1.32657,
40.2477,0.802068,40.2158,0.818853,40.1839,0.837133,40.1626,0.856446,40.152,0.87648,40.1201,0.897148,40.0776,0.918634,40.0244,0.941647,39.9713,0.96711,39.8703,0.994699,39.4452,1.01538,39.307,1.0484,38.8871,1.07718,38.6745,1.11859,

